Column1,Column2
1477.1863,277
1480.3851,261
1483.5847,265
1486.7831,269
1489.9803,248
1493.1746,298
1496.3694,287
1499.563,282
1502.7537,299
1505.9449,305
1509.1351,287
1512.3223,325
1515.51,315
1518.6967,330
1521.8802,326
1525.0645,387
1528.2457,376
1531.4276,386
1534.6084,421
1537.7861,461
1540.9645,482
1544.1399,539
1547.3159,585
1550.489,679
1553.6627,841
1556.8335,992
1560.0049,1177
1563.1732,1554
1566.3423,1916
1569.5083,2375
1572.675,2851
1575.8387,3396
1579.0032,3603
1582.1646,3495
1585.3248,3119
1588.4857,2740
1591.6437,2217
1594.8022,1774
1597.9579,1425
1601.1124,1149
1604.2675,927
1607.4197,784
1610.5706,669
1613.7223,582
1616.871,530
1620.0184,486
1623.1666,469
1626.3119,404
1629.4559,384
1632.6006,348
1635.7424,320
1638.8831,325
1642.0225,313
1645.1626,303
1648.2998,276
1651.4358,270
1654.5707,236
1657.7043,298
1660.8387,242
1663.9702,242
1667.1005,234
1670.2296,264
1673.3577,255
1676.4845,230
1679.6119,239
1682.7366,209
1685.86,232
1688.9823,193
1692.1035,227
1695.2235,204
1698.3424,207
1701.4601,212
1704.5767,230
1707.6921,206
1710.8065,220
1713.9197,209
1717.0317,211
1720.1427,202
1723.2524,202
1726.3612,208
1729.4688,204
1732.5751,238
1735.6804,191
1738.7845,209
1741.8876,222
1744.9894,215
1748.0902,185
1751.1898,235
1754.2883,199
1757.3856,223
1760.4801,213
1763.5753,228
1766.6693,201
1769.7621,190
1772.8539,210
1775.9445,193
1779.0322,189
1782.1206,214
1785.2079,207
1788.2941,197
1791.379,215
1794.4612,221
1797.5439,216
1800.6256,192
1803.7045,185
1806.7839,201
1809.8622,208
1812.9395,189
1816.0138,189
1819.0887,211
1822.1626,207
1825.2335,200
1828.3052,202
1831.3757,204
1834.4434,215
1837.5117,202
1840.5771,194
1843.6432,227
1846.7083,200
1849.7703,193
1852.8331,198
1855.8929,204
1858.9535,194
1862.0112,190
1865.0696,172
1868.125,204
1871.1812,201
1874.2345,200
1877.2885,186
1880.3395,179
1883.3912,213
1886.4401,222
1889.4896,207
1892.5363,198
1895.5836,202
1898.6281,198
1901.6715,210
1904.7155,199
1907.7567,226
1910.7985,198
1913.8375,194
1916.8755,199
1919.9139,185
1922.9497,187
1925.9844,199
1929.0197,197
1932.052,207
1935.0834,223
1938.1136,211
1941.1447,200
1944.1727,209
1947.1997,199
1950.2256,203
1953.2522,205
1956.2759,208
1959.2986,217
1962.3201,192
1965.3406,182
1968.3617,211
1971.38,196
1974.3973,212
1977.4135,169
1980.4285,226
1983.4425,193
1986.4554,194
1989.469,207
1992.4797,194
1995.4894,207
1998.498,203
2001.5055,202
2004.512,213
2007.5173,202
2010.5216,191
2013.5248,179
2016.527,212
2019.5281,185
2022.528,201
2025.527,178
2028.5248,210
2031.5215,210
2034.5172,215
2037.5118,194
2040.5055,206
2043.4979,205
2046.4894,170
2049.478,202
2052.4673,201
2055.4556,191
2058.4426,194
2061.4287,202
2064.4138,209
2067.3977,194
2070.3789,191
2073.3608,205
2076.3416,185
2079.3213,219
2082.2998,195
2085.2759,190
2088.2522,203
2091.2278,186
2094.2004,210
2097.1738,182
2100.146,205
2103.1172,221
2106.0857,199
2109.0549,191
2112.0229,190
2114.9883,210
2117.9541,184
2120.9192,190
2123.8813,207
2126.844,194
2129.804,201
2132.7646,190
2135.7244,210
2138.6812,190
2141.6387,192
2144.5935,163
2147.5491,192
2150.5017,198
2153.4551,169
2156.4055,186
2159.3569,191
2162.3054,195
2165.2544,186
2168.2009,186
2171.1479,194
2174.0923,181
2177.0374,177
2179.9795,189
2182.9224,171
2185.8625,191
2188.8015,193
2191.7415,189
2194.6785,214
2197.6145,194
2200.551,205
2203.4849,198
2206.418,194
2209.3513,179
2212.2822,207
2215.2119,188
2218.1423,187
2221.0701,200
2223.9968,203
2226.9224,203
2229.8486,181
2232.7722,199
2235.6948,200
2238.6162,195
2241.5366,201
2244.4578,233
2247.3762,205
2250.2937,194
2253.21,207
2256.1252,186
2259.0396,206
2261.9546,197
2264.8669,230
2267.7781,205
2270.6882,200
2273.5974,210
2276.5056,197
2279.4126,209
2282.3188,193
2285.2239,187
2288.1279,178
2291.031,181
2293.9329,207
2296.834,198
2299.7339,194
2302.6328,197
2305.5308,217
2308.4277,198
2311.3237,187
2314.2185,201
2317.1123,192
2320.0051,200
2322.8955,200
2325.7861,225
2328.676,215
2331.5649,197
2334.4526,221
2337.3394,202
2340.2251,204
2343.1082,188
2345.9919,204
2348.8748,197
2351.7563,205
2354.6355,203
2357.5151,193
2360.3938,199
2363.2715,210
2366.1465,205
2369.0222,230
